first_fighter,second_fighter,result_1,result_2,date
Ricco-Rodriguez,Andrei-Arlovski,Loss,Win,2001-06-30
Tony-DeSouza,Paul-Rodriguez,Loss,Win,2001-06-30
Tito-Ortiz,Vladimir-Matyushenko,Win,Loss,2001-09-29
Jens-Pulver,Dennis-Hallman,Win,Loss,2001-09-29
Dave-Menne,Gil-Castillo,Win,Loss,2001-09-29
Chuck-Liddell,Murilo-Bustamante,Win,Loss,2001-09-29
Matt-Serra,Yves-Edwards,Win,Loss,2001-09-29
Ricardo-Almeida,Eugene-Jackson,Loss,Win,2001-09-29
Din-Thomas,Fabiano-Iha,Loss,Win,2001-09-29
Jutaro-Nakao,Tony-DeSouza,Loss,Win,2001-09-29
Randy-Couture,Pedro-Rizzo,Win,Loss,2001-11-03
Matt-Hughes,Carlos-Newton,Loss,Win,2001-11-03
BJ-Penn,Caol-Uno,Win,Loss,2001-11-03
Ricco-Rodriguez,Pete-Williams,Win,Loss,2001-11-03
Josh-Barnett,Bobby-Hoffman,Win,Loss,2001-11-03
Evan-Tanner,Homer-Moore,Win,Loss,2001-11-03
Matt-Lindland,Phil-Baroni,Win,Loss,2001-11-03
Frank-Mir,Roberto-Traven,Win,Loss,2001-11-03
Jens-Pulver,BJ-Penn,Win,Loss,2002-01-12
Murilo-Bustamante,Dave-Menne,Loss,Win,2002-01-12
Ricco-Rodriguez,Jeff-Monson,Win,Loss,2002-01-12
Chuck-Liddell,Amar-Suloev,Win,Loss,2002-01-12
Kevin-Randleman,Renato-Sobral,Win,Loss,2002-01-12
Andrei-Semenov,Ricardo-Almeida,Win,Loss,2002-01-12
Eugene-Jackson,Keith-Rockel,Win,Loss,2002-01-12
Gil-Castillo,Chris-Brennan,Win,Loss,2002-01-12
Josh-Barnett,Randy-Couture,Loss,Win,2002-03-23
Matt-Hughes,Hayato-Sakurai,Win,Loss,2002-03-23
Pedro-Rizzo,Andrei-Arlovski,Win,Loss,2002-03-23
Frank-Mir,Pete-Williams,Win,Loss,2002-03-23
Matt-Lindland,Pat-Miletich,Win,Loss,2002-03-23
Evan-Tanner,Elvis-Sinosic,Win,Loss,2002-03-23
Matt-Serra,Kelly-Dullanty,Win,Loss,2002-03-23
Sean-Sherk,Jutaro-Nakao,Win,Loss,2002-03-23
Murilo-Bustamante,Matt-Lindland,Win,Loss,2002-05-11
Ricco-Rodriguez,Tsuyoshi-Kosaka,Win,Loss,2002-05-11
Phil-Baroni,Amar-Suloev,Win,Loss,2002-05-11
BJ-Penn,Paul-Creighton,Win,Loss,2002-05-11
Caol-Uno,Yves-Edwards,Win,Loss,2002-05-11
Ivan-Salaverry,Andrei-Semenov,Win,Loss,2002-05-11
Benji-Radach,Steve-Berger,No Contest,No Contest,2002-05-11
Robbie-Lawler,Aaron-Riley,Win,Loss,2002-05-11
Chuck-Liddell,Vitor-Belfort,Win,Loss,2002-06-22
Tony-Frycklund,Rodrigo-Ruas,Win,Loss,2002-06-22
Benji-Radach,Nick-Serra,Loss,Win,2002-06-22
Pete-Spratt,Zach-Light,Loss,Win,2002-06-22
Robbie-Lawler,Steve-Berger,Loss,Win,2002-06-22
Yves-Edwards,Joao-Pierini,Win,Loss,2002-06-22
Matt-Hughes,Carlos-Newton,Win,Loss,2002-07-14
Ian-Freeman,Frank-Mir,Win,Loss,2002-07-14
Phillip-Miller,James-Zikic,Win,Loss,2002-07-14
Mark-Weir,Eugene-Jackson,Win,Loss,2002-07-14
Genki-Sudo,Leigh-Remedios,Win,Loss,2002-07-14
Renato-Sobral,Elvis-Sinosic,Win,Loss,2002-07-14
Evan-Tanner,Chris-Haseman,Win,Loss,2002-07-14
Ricco-Rodriguez,Randy-Couture,Loss,Win,2002-09-28
BJ-Penn,Matt-Serra,Win,Loss,2002-09-28
Caol-Uno,Din-Thomas,Loss,Win,2002-09-28
Gan-McGee,Pedro-Rizzo,Loss,Win,2002-09-28
Phil-Baroni,Dave-Menne,Loss,Win,2002-09-28
Tim-Sylvia,Wesley-Correira,Win,Loss,2002-09-28
Matt-Lindland,Ivan-Salaverry,Win,Loss,2002-09-28
Sean-Sherk,Benji-Radach,Loss,Win,2002-09-28
Tito-Ortiz,Ken-Shamrock,Win,Loss,2002-11-23
Chuck-Liddell,Renato-Sobral,Win,Loss,2002-11-23
Matt-Hughes,Gil-Castillo,Win,Loss,2002-11-23
Carlos-Newton,Pete-Spratt,Win,Loss,2002-11-23
Robbie-Lawler,Tiki-Ghosn,Win,Loss,2002-11-23
Andrei-Arlovski,Ian-Freeman,Loss,Win,2002-11-23
Vladimir-Matyushenko,Travis-Wiuff,Loss,Win,2002-11-23
Phillip-Miller,Mark-Weir,Win,Loss,2002-11-23
Tim-Sylvia,Ricco-Rodriguez,Loss,Win,2003-03-01
Frank-Mir,Tank-Abbott,Loss,Win,2003-03-01
BJ-Penn,Caol-Uno,Draw,Draw,2003-03-01
Matt-Lindland,Phil-Baroni,Win,Loss,2003-03-01
Vladimir-Matyushenko,Pedro-Rizzo,Win,Loss,2003-03-01
Gan-McGee,Alexandre-Dantas,Win,Loss,2003-03-01
Din-Thomas,Matt-Serra,Loss,Win,2003-03-01
Yves-Edwards,Rich-Clementi,Win,Loss,2003-03-01
Matt-Hughes,Sean-Sherk,Win,Loss,2003-04-26
Pete-Spratt,Robbie-Lawler,Loss,Win,2003-04-26
Dave-Strasser,Romie-Aram,Loss,Win,2003-04-26
Wesley-Correira,Sean-Alvarez,Win,Loss,2003-04-26
Rich-Franklin,Evan-Tanner,Loss,Win,2003-04-26
Duane-Ludwig,Genki-Sudo,Loss,Win,2003-04-26
Hermes-Franca,Richard-Crunkilton Jr.,Loss,Win,2003-04-26
David-Loiseau,Mark-Weir,Loss,Win,2003-04-26
Randy-Couture,Chuck-Liddell,Loss,Win,2003-06-07
Kimo-Leopoldo,Tank-Abbott,Loss,Win,2003-06-07
Vitor-Belfort,Marvin-Eastman,Win,Loss,2003-06-07
Vernon-White,Ian-Freeman,Draw,Draw,2003-06-07
Frank-Mir,Wes-Sims,Win,Loss,2003-06-07
Falaniko-Vitale,Matt-Lindland,Loss,Win,2003-06-07
Pedro-Rizzo,Tra-Telligman,Win,Loss,2003-06-07
Yves-Edwards,Eddie-Ruiz,Win,Loss,2003-06-07
Randy-Couture,Tito-Ortiz,Loss,Win,2003-09-27
Tim-Sylvia,Gan-McGee,Win,Loss,2003-09-27
Andrei-Arlovski,Vladimir-Matyushenko,Win,Loss,2003-09-27
Jorge-Rivera,David-Loiseau,Loss,Win,2003-09-27
Rich-Franklin,Edwin-Dewees,Win,Loss,2003-09-27
Karo-Parisyan,Dave-Strasser,Loss,Win,2003-09-27
Nick-Diaz,Jeremy-Jackson,Loss,Win,2003-09-27
Hermes-Franca,Caol-Uno,Loss,Win,2003-09-27
Josh-Thomson,Gerald-Strebendt,Win,Loss,2003-09-27
Matt-Hughes,Frank-Trigg,Win,Loss,2003-11-22
Matt-Lindland,Falaniko-Vitale,Win,Loss,2003-11-22
Wesley-Correira,Tank-Abbott,Loss,Win,2003-11-22
Evan-Tanner,Phil-Baroni,Loss,Win,2003-11-22
Robbie-Lawler,Chris-Lytle,Win,Loss,2003-11-22
Pedro-Rizzo,Ricco-Rodriguez,Loss,Win,2003-11-22
Keith-Rockel,Chris-Ligouri,Win,Loss,2003-11-22
Yves-Edwards,Nick-Agallar,Win,Loss,2003-11-22
Vitor-Belfort,Randy-Couture,Loss,Win,2004-02-01
BJ-Penn,Matt-Hughes,Loss,Win,2004-02-01
Frank-Mir,Wes-Sims,Win,Loss,2004-02-01
Lee-Murray,Jorge-Rivera,Loss,Win,2004-02-01
Renato-Verissimo,Carlos-Newton,Loss,Win,2004-02-01
Georges-St-Pierre,Karo-Parisyan,Loss,Win,2004-02-01
Matt-Serra,Jeff-Curran,Win,Loss,2004-02-01
Josh-Thomson,Hermes-Franca,Loss,Win,2004-02-01
Chuck-Liddell,Tito-Ortiz,Loss,Win,2004-04-03
Andrei-Arlovski,Wesley-Correira,Loss,Win,2004-04-03
Nick-Diaz,Robbie-Lawler,Loss,Win,2004-04-03
Mike-Kyle,Wes-Sims,Loss,Win,2004-04-03
Chris-Lytle,Tiki-Ghosn,Win,Loss,2004-04-03
Yves-Edwards,Hermes-Franca,Win,Loss,2004-04-03
Jonathan-Wiezorek,Wade-Shipp,Win,Loss,2004-04-03
Genki-Sudo,Mike-Brown,Win,Loss,2004-04-03
Ken-Shamrock,Kimo-Leopoldo,Win,Loss,2004-06-20
Frank-Mir,Tim-Sylvia,Loss,Win,2004-06-20
Matt-Hughes,Renato-Verissimo,Win,Loss,2004-06-20
